K,Algoritmo,Rep,Custo_Total,Impacto_Ambiental,Tempo_Total_Segundos
13,MOEAD_AV,1,1105.758173,2.721616,103.587
13,MOEAD_AV,1,1124.097886,2.721378,103.587
13,MOEAD_AV,1,1246.412494,2.721329,103.587
13,MOEAD_AV,1,1246.674055,2.719997,103.587
13,MOEAD_AV,1,1248.972489,2.719293,103.587
13,MOEAD_AV,1,1253.514405,2.718891,103.587
13,MOEAD_AV,1,1343.701874,2.717833,103.587
13,MOEAD_AV,1,1377.783726,2.717463,103.587
13,MOEAD_AV,1,1625.959808,2.716592,103.587
13,MOEAD_AV,1,1626.267439,2.716338,103.587
13,MOEAD_AV,1,1627.308463,2.715977,103.587
13,MOEAD_AV,1,1627.315121,2.715570,103.587
13,MOEAD_AV,1,1627.921418,2.714337,103.587
13,MOEAD_AV,1,1630.265325,2.713951,103.587
13,MOEAD_AV,1,1631.420065,2.713548,103.587
13,MOEAD_AV,1,1631.576376,2.712744,103.587
13,MOEAD_AV,1,1632.537682,2.712717,103.587
13,MOEAD_AV,1,1634.623895,2.712689,103.587
13,MOEAD_AV,1,1636.186474,2.712646,103.587
13,MOEAD_AV,1,1636.544241,2.712606,103.587
13,MOEAD_AV,2,640.141702,6.552931,118.021
13,MOEAD_AV,2,640.142317,6.517648,118.021
13,MOEAD_AV,2,640.143108,6.517510,118.021
13,MOEAD_AV,2,640.145265,6.458334,118.021
13,MOEAD_AV,2,640.146056,6.458197,118.021
13,MOEAD_AV,2,640.148524,6.449947,118.021
13,MOEAD_AV,2,640.149315,6.449092,118.021
13,MOEAD_AV,2,640.149773,6.445402,118.021
13,MOEAD_AV,2,640.150564,6.445264,118.021
13,MOEAD_AV,2,640.158895,6.437863,118.021
13,MOEAD_AV,2,640.159686,6.437008,118.021
13,MOEAD_AV,2,640.164041,6.413674,118.021
13,MOEAD_AV,2,640.164832,6.412819,118.021
13,MOEAD_AV,2,640.165500,6.404799,118.021
13,MOEAD_AV,2,640.165976,6.404183,118.021
13,MOEAD_AV,2,640.166291,6.403944,118.021
13,MOEAD_AV,2,640.166374,6.388926,118.021
13,MOEAD_AV,2,640.166989,6.352925,118.021
13,MOEAD_AV,2,640.170248,6.345255,118.021
13,MOEAD_AV,2,640.171039,6.344401,118.021
13,MOEAD_AV,2,640.171497,6.341428,118.021
13,MOEAD_AV,2,640.172288,6.340573,118.021
13,MOEAD_AV,2,640.172722,6.335115,118.021
13,MOEAD_AV,2,640.176439,6.323038,118.021
13,MOEAD_AV,2,640.177230,6.322900,118.021
13,MOEAD_AV,2,640.178040,6.302242,118.021
13,MOEAD_AV,2,640.178831,6.301387,118.021
13,MOEAD_AV,2,640.181299,6.293855,118.021
13,MOEAD_AV,2,640.182090,6.293000,118.021
13,MOEAD_AV,2,640.182548,6.290027,118.021
13,MOEAD_AV,2,640.183339,6.289173,118.021
13,MOEAD_AV,2,640.191670,6.281054,118.021
13,MOEAD_AV,2,640.192461,6.280916,118.021
13,MOEAD_AV,2,640.202516,6.264113,118.021
13,MOEAD_AV,2,640.203307,6.263258,118.021
13,MOEAD_AV,2,640.205775,6.255726,118.021
13,MOEAD_AV,2,640.206566,6.254871,118.021
13,MOEAD_AV,2,640.207024,6.251181,118.021
13,MOEAD_AV,2,640.207815,6.251043,118.021
13,MOEAD_AV,2,640.215108,6.250098,118.021
13,MOEAD_AV,2,640.215899,6.249098,118.021
13,MOEAD_AV,2,640.216146,6.243642,118.021
13,MOEAD_AV,2,640.216937,6.242787,118.021
13,MOEAD_AV,2,640.228596,6.240455,118.021
13,MOEAD_AV,2,640.229387,6.239600,118.021
13,MOEAD_AV,2,640.233162,6.239426,118.021
13,MOEAD_AV,2,640.233540,6.238986,118.021
13,MOEAD_AV,2,640.234414,6.238607,118.021
13,MOEAD_AV,2,640.235916,6.231487,118.021
13,MOEAD_AV,2,640.236707,6.230632,118.021
13,MOEAD_AV,2,640.271603,6.228208,118.021
13,MOEAD_AV,2,640.272394,6.227354,118.021
13,MOEAD_AV,2,640.315682,6.227296,118.021
13,MOEAD_AV,2,640.319919,6.226776,118.021
13,MOEAD_AV,2,640.320710,6.225746,118.021
13,MOEAD_AV,2,640.333343,6.225366,118.021
13,MOEAD_AV,2,640.368866,6.225202,118.021
13,MOEAD_AV,2,640.371896,6.224696,118.021
13,MOEAD_AV,2,640.378508,6.223205,118.021
13,MOEAD_AV,2,640.385119,6.193741,118.021
13,MOEAD_AV,2,640.392412,6.192810,118.021
13,MOEAD_AV,2,640.394241,6.185485,118.021
13,MOEAD_AV,2,640.408346,6.159440,118.021
13,MOEAD_AV,2,640.409595,6.155612,118.021
13,MOEAD_AV,2,640.416888,6.154681,118.021
13,MOEAD_AV,2,640.418282,6.150543,118.021
13,MOEAD_AV,2,640.430376,6.144306,118.021
13,MOEAD_AV,2,640.431167,6.144169,118.021
13,MOEAD_AV,2,640.437696,6.136215,118.021
13,MOEAD_AV,2,640.438487,6.135201,118.021
13,MOEAD_AV,2,640.473383,6.132059,118.021
13,MOEAD_AV,2,640.474174,6.131922,118.021
13,MOEAD_AV,2,640.517462,6.131865,118.021
13,MOEAD_AV,2,640.521699,6.130452,118.021
13,MOEAD_AV,2,640.535123,6.129934,118.021
13,MOEAD_AV,2,640.556070,6.128492,118.021
13,MOEAD_AV,2,640.580288,6.127774,118.021
13,MOEAD_AV,2,640.617019,6.126504,118.021
13,MOEAD_AV,2,640.627813,6.126462,118.021
13,MOEAD_AV,2,640.628604,6.126325,118.021
13,MOEAD_AV,2,640.641237,6.125786,118.021
13,MOEAD_AV,2,640.662184,6.124343,118.021
13,MOEAD_AV,2,640.689553,6.124337,118.021
13,MOEAD_AV,2,640.705472,6.124286,118.021
13,MOEAD_AV,2,640.723133,6.122356,118.021
13,MOEAD_AV,2,640.761686,6.121686,118.021
13,MOEAD_AV,2,640.769450,6.121448,118.021
13,MOEAD_AV,2,640.795794,6.108493,118.021
13,MOEAD_AV,2,640.820354,6.098420,118.021
13,MOEAD_AV,2,640.823613,6.090033,118.021
13,MOEAD_AV,2,640.824862,6.086206,118.021
13,MOEAD_AV,2,640.830571,6.081284,118.021
13,MOEAD_AV,2,640.831186,6.045124,118.021
